Time (s),Manipulability,Joint Velocities
0.03678750991821289,1.1341091966607806,"[-0.5867177279849766, 0.32852244627047605, -0.5867138453667399, -0.2967177514869802, -0.29930897610361923, 0.3190319401980637, -0.14151048535328606, -0.3828317820527039, -0.2714908539656114, -0.3828388742513515]"
0.06104087829589844,1.1340882584242442,"[-0.58690729304844, 0.3099530446916962, -0.5869029555185881, -0.2889204876199888, -0.31365725789269905, 0.31913448854940485, -0.1409071305422142, -0.3829542522409614, -0.2688220874400677, -0.3829621140405116]"
0.12860107421875,1.1341836447501001,"[-0.5870814231616837, 0.2915069815502458, -0.5870857119229193, -0.2811564741808644, -0.3192277544739058, 0.31922291495176025, -0.1402983157833458, -0.3830721923417789, -0.25788725515575983, -0.3830669903374697]"
0.1535353660583496,1.1343499314997476,"[-0.5872382617868637, 0.27331383703330275, -0.5872437466942034, -0.2737252768933852, -0.3193134655920703, 0.31931001616623456, -0.13969319566136532, -0.3831761375440993, -0.24180437421783058, -0.38317024275468287]"
0.20580339431762695,1.1345610087344686,"[-0.5873893634621875, 0.24831760792699645, -0.5873771563600655, -0.2514977246198421, -0.3193891460195438, 0.31938181254977704, -0.1390875111284683, -0.38324895092993233, -0.22639204041419167, -0.367362384919567]"
0.2243819236755371,1.1348243794922797,"[-0.5875309355633652, 0.22330102562784335, -0.587515807606899, -0.22867305367000856, -0.3194661262716657, 0.3194574812218386, -0.13848154928918338, -0.38334062071819197, -0.2117340073524571, -0.3506702038345206]"
0.24248695373535156,1.1351478465406486,"[-0.5876722648477076, 0.19871873953617247, -0.5876543746181272, -0.20623880481962142, -0.31954278535276864, 0.31953321596052486, -0.13787816101838662, -0.38343258432046784, -0.19779945885024672, -0.3341598750719989]"
0.2906060218811035,1.1355389503511601,"[-0.5878120401816539, 0.1745415386876428, -0.5877917220319925, -0.18414865233873798, -0.3196185587357366, 0.3196083732458897, -0.13727699692172363, -0.3835239942252643, -0.18457613095916892, -0.31779631892031845]"
0.31183385848999023,1.136005060336934,"[-0.5879510607619948, 0.15074283346710693, -0.5879286490094857, -0.16235617765194418, -0.3196937641177867, 0.31968126522337875, -0.1366779492927647, -0.38361540814401485, -0.17205449363386163, -0.30154676639569156]"
0.3334650993347168,1.1365533610118954,"[-0.5880605249205573, 0.12729731763463906, -0.5880607975915604, -0.1408254042862753, -0.31975756746849965, 0.3197551929548078, -0.13608178073365426, -0.38370502679879065, -0.16022150476569813, -0.2853796326961701]"
0.36313843727111816,1.137190787088731,"[-0.5882338730958042, 0.1028064057847195, -0.5815729039225432, -0.12310378759118708, -0.3198351107569838, 0.31981779812023503, -0.13548950472590218, -0.383743679375341, -0.14941397003734236, -0.26642821294136076]"
0.37864255905151367,1.1379253723002063,"[-0.5883680133572684, 0.07434871721713159, -0.5535606489593426, -0.11716355025297596, -0.3199072267803213, 0.3198888533911711, -0.13489576827637986, -0.3838340766361525, -0.14064451326378521, -0.23815392904371913]"
0.40905070304870605,1.138769107708307,"[-0.5885007823209027, 0.047199059406881905, -0.5262681336693672, -0.11137564692042173, -0.31997891211942825, 0.31995937215245296, -0.13430385107404766, -0.38392413628834177, -0.13300910837460436, -0.2106372285232858]"
0.4383363723754883,1.1397300741648477,"[-0.5886340394358965, 0.021290475733692603, -0.4996304628332584, -0.10572684386685892, -0.3200512143872608, 0.32003037991447164, -0.13371409084899752, -0.3840151822307902, -0.1264805712628911, -0.18382518940041198]"
0.46308255195617676,1.1408159988423143,"[-0.5887705623631728, -0.0034377026900252764, -0.4735900117439791, -0.10020407034974754, -0.32012563997329124, 0.3201031698112527, -0.13312678271792547, -0.3841091199737208, -0.12103462631004307, -0.1576717937413637]"
