Time (s),Manipulability,Joint Velocities
0.03556680679321289,1.1341091966607806,"[0.6264795628080613, 0.35122468228248654, -0.6264686382650296, -0.3177521940214083, 0.3406482581011756, 0.34065550889624063, 0.2230095905211803, -0.4087716065810783, 0.07264440178249933, -0.40878796628154473]"
0.13154029846191406,1.1359280589238996,"[0.6277497747954482, 0.3666417460712822, -0.6275726526574946, -0.32033232555603386, 0.3413007713413798, 0.34148736936929897, 0.22929845750507857, -0.4102029405423463, 0.08318681660142274, -0.4096031986442925]"
0.18188691139221191,1.1379089586531732,"[0.6287972219453843, 0.3816323632192034, -0.6288006748274176, -0.3220699583378852, 0.3419066651645113, 0.34190585390644024, 0.23567844870839066, -0.41031175181023577, 0.09341741645397762, -0.4102806097076866]"
0.21417522430419922,1.1400514429970017,"[0.6300693887589969, 0.3969179317739805, -0.6300743875202414, -0.32456523128847886, 0.3425982756923093, 0.34259832228772585, 0.2421015994472702, -0.4111416575910953, 0.1034230628399627, -0.41111201771384787]"
0.2555391788482666,1.1423542023524185,"[0.6314138877390869, 0.4122620229945579, -0.6314158056732335, -0.32726932718933577, 0.34332997557327827, 0.34333500622840585, 0.24857283666260788, -0.4120171714914707, 0.11320423562225022, -0.41199705052159225]"
0.3041200637817383,1.1448159674874698,"[0.6328269760011234, 0.4276630751424525, -0.6328254239336902, -0.3301549456381152, 0.34409914136926256, 0.34410947327207103, 0.2550811458013309, -0.41293813951817265, 0.12277932465060849, -0.4129271891508543]"
0.3251464366912842,1.1474352408540809,"[0.6343093869507676, 0.4428837197294454, -0.6343019803216412, -0.33251595029283215, 0.3160585973722896, 0.34491657940247344, 0.2397240754907014, -0.4139015967275717, 0.12692474389648128, -0.41389640768950475]"
0.37322020530700684,1.1499801462703378,"[0.6357903622165149, 0.4578024664416158, -0.6357807174702844, -0.3345182029347458, 0.27940673770155455, 0.3457236954272846, 0.21735518576593982, -0.4148664767835844, 0.12985657578001503, -0.41486547626565906]"
0.387192964553833,1.1523543117485513,"[0.6372505377026324, 0.472418938445595, -0.6372386581665159, -0.33634750017199455, 0.24304747153368428, 0.34651895382333836, 0.19462756619094937, -0.4158183292530062, 0.13334597678840732, -0.41582004316946436]"
0.42836546897888184,1.1545298497294887,"[0.6386863319118853, 0.48673508371856156, -0.6386739378041333, -0.33804179872148343, 0.20714484607292286, 0.34729956859712824, 0.17164759360667947, -0.41675518729366823, 0.13747941287818352, -0.4167569633711192]"
0.44029831886291504,1.1564827793956143,"[0.6400955411562008, 0.5007558005541731, -0.6400817860273441, -0.33964948214375285, 0.17185608137021022, 0.34806614362561084, 0.14852390348972141, -0.4176745380139752, 0.14233487685565205, -0.4176768951957393]"
0.4735565185546875,1.1581931748986052,"[0.6414784959137935, 0.5144755935580922, -0.6414789376881579, -0.3411574596968058, 0.13733208901679572, 0.3487997281081813, 0.12537382127034652, -0.41856348683169375, 0.14797207964939446, -0.41855961248985685]"
0.4907951354980469,1.1596453478430184,"[0.6428327346601982, 0.5279379266720043, -0.6428201695961129, -0.34276531667478577, 0.10370417891632829, 0.34955215290979924, 0.10227673612056061, -0.41946193378855573, 0.15448114544362093, -0.4194596611229919]"
0.5900876522064209,1.1608272216250206,"[0.6441625365511704, 0.5411176754203493, -0.6441527994026206, -0.3443635875207463, 0.07110511873002745, 0.3502744990512362, 0.07936500033033217, -0.42032898714649386, 0.16188400404775943, -0.4203266192574975]"
0.6064093112945557,1.1617310765211215,"[0.6454715217081622, 0.554039167779801, -0.645464616287632, -0.3460472286279909, 0.03964565878250666, 0.3509854281066608, 0.056726213995101075, -0.421183035295199, 0.17023516756301804, -0.4211797131385495]"
0.6526648998260498,1.1623526952329615,"[0.6467651638907923, 0.5667107933148551, -0.6467732897682227, -0.34782457846227965, 0.009434830111724739, 0.3516758993397451, 0.034466641282270956, -0.4220210649550408, 0.17956354453070955, -0.4220107071864146]"
