Time (s),Manipulability,Joint Velocities
0.03407740592956543,1.1341091966607806,"[-0.5867177279849766, 0.32852244627047605, -0.5867138453667399, -0.2967177514869802, -0.29930897610361923, 0.3190319401980637, -0.14151048535328606, -0.3828317820527039, -0.2714908539656114, -0.3828388742513515]"
0.06505513191223145,1.1340882584242442,"[-0.5869078329961893, 0.3099580043104098, -0.5869139992086576, -0.2889092763020817, -0.3136566117220578, 0.3191316002675834, -0.1409076203975934, -0.3829736141557477, -0.26882091857784307, -0.38295369587041]"
0.16314148902893066,1.1341836371821512,"[-0.587086149366773, 0.29151408186703626, -0.5870745692832482, -0.2811935412146255, -0.31922660887253246, 0.3192352768820392, -0.14030273903210733, -0.38307863641958445, -0.25788090006664516, -0.38308025233421544]"
0.2065868377685547,1.134349853037264,"[-0.5872469894508857, 0.27331574813469717, -0.5872322038694461, -0.2737545844438537, -0.3193134482113379, 0.31931950564438905, -0.13969535076886808, -0.3831674860764267, -0.2417995625633343, -0.3831853156794207]"
0.22617721557617188,1.1345608908094564,"[-0.5873893754269179, 0.24831819312936335, -0.5873771683950253, -0.2514985528134406, -0.31938915254986733, 0.31938181908080454, -0.13908748153637224, -0.3832489587437346, -0.22639126410682422, -0.3673631396901085]"
0.266249418258667,1.1348242643845385,"[-0.5875309502286495, 0.22330163391340313, -0.5875158223211805, -0.2286739422172316, -0.31946613426136833, 0.3194574892021626, -0.1384815204481175, -0.38334063026071596, -0.21173321626720473, -0.35067100409235463]"
0.280242919921875,1.1351477343213083,"[-0.587655028674683, 0.1987143961629747, -0.5876546165835539, -0.2062291112739347, -0.31953774250619016, 0.3195358085615464, -0.13787804350013216, -0.38343999725257405, -0.1977982535363141, -0.3341451920213973]"
0.33211636543273926,1.135538838828491,"[-0.5878119512181248, 0.17454177387044298, -0.5877916330224514, -0.18414869675700665, -0.31961851034630057, 0.3196083248488069, -0.1372769444877997, -0.3835239361715981, -0.18457556516178136, -0.317796294022636]"
0.3635740280151367,1.136004954100797,"[-0.5879509721834948, 0.15074308025887412, -0.5879285604182434, -0.16235624677207022, -0.3196937159356515, 0.3196812170797542, -0.13667789729489369, -0.3836153503457832, -0.17205394262523172, -0.30154675255504293]"
0.39367127418518066,1.1365532601858506,"[-0.5880875435039594, 0.12730074565279156, -0.588067017302367, -0.14082303301260649, -0.3197677042313996, 0.3197515980994419, -0.13608089891778782, -0.38370521903508464, -0.16022573827464762, -0.2853868084739927]"
